timestamp,transfer,transfer_speed,bitrate,jitter,lost_total_datagrams,datagram_loss_percent
2024-04-10 08:53:42,83.6,MBytes,17.5,7.844,25984/88562,29
2024-04-10 08:59:42,84.5,MBytes,17.7,0.698,25736/89020,29
2024-04-10 09:03:42,116,MBytes,24.2,1.049,2422/89226,2.7
2024-04-10 09:09:42,70.7,MBytes,14.8,0.964,35882/88817,40
2024-04-10 09:13:41,78.8,MBytes,16.5,0.782,29917/88911,34
2024-04-10 09:19:42,84.1,MBytes,17.6,0.513,25852/88859,29
2024-04-10 09:23:42,95.2,MBytes,19.9,0.722,17940/89262,20
2024-04-10 09:33:42,88.0,MBytes,18.4,1.033,23041/88920,26
2024-04-10 09:39:42,99.3,MBytes,20.8,0.699,14849/89246,17
2024-04-10 09:43:42,81.7,MBytes,17.1,0.612,28004/89168,31
2024-04-10 09:53:42,79.8,MBytes,16.7,0.658,29276/89072,33
2024-04-10 10:03:42,102,MBytes,21.4,0.794,12405/89125,14
2024-04-10 10:09:42,104,MBytes,21.8,0.613,10656/88663,12
2024-04-10 10:13:42,96.9,MBytes,20.3,1.418,16299/88878,18
2024-04-10 10:19:42,92.3,MBytes,19.3,3.184,19615/88769,22
2024-04-10 10:23:42,89.7,MBytes,18.7,5.218,21247/88405,24
2024-04-10 10:29:42,100,MBytes,21.0,0.669,13508/88742,15
2024-04-10 10:33:42,117,MBytes,24.6,1.736,1037/89011,1.2
2024-04-10 10:39:42,118,MBytes,24.6,0.604,1118/89263,1.3
2024-04-10 10:43:42,72.8,MBytes,15.2,0.681,34545/89089,39
2024-04-10 10:49:42,110,MBytes,22.9,0.549,6630/88832,7.5
2024-04-10 10:53:42,70.2,MBytes,14.7,0.620,36179/88722,41
2024-04-10 11:03:42,102,MBytes,21.3,0.930,12927/89037,15
2024-04-10 11:09:42,105,MBytes,21.9,0.568,10842/89160,12
2024-04-10 11:13:42,77.6,MBytes,16.2,0.648,30792/88923,35
2024-04-10 11:19:42,101,MBytes,21.2,4.609,13030/88831,15
2024-04-10 11:23:42,79.2,MBytes,16.6,0.757,29388/88694,33
2024-04-10 11:29:42,117,MBytes,24.5,1.019,1282/89041,1.4
2024-04-10 11:33:42,104,MBytes,21.7,3.046,11263/88871,13
2024-04-10 11:39:42,102,MBytes,21.2,1.231,12530/88629,14
2024-04-10 11:43:42,99.1,MBytes,20.7,0.922,14770/88970,17
2024-04-10 11:53:42,88.7,MBytes,18.5,0.647,22363/88762,25
2024-04-10 11:59:42,93.6,MBytes,19.6,0.539,18766/88836,21
2024-04-10 12:03:42,103,MBytes,21.5,0.737,11922/89105,13
2024-04-10 12:13:42,108,MBytes,22.5,0.702,8504/89055,9.5
2024-04-10 12:23:42,103,MBytes,21.6,0.878,11388/88863,13
2024-04-10 12:29:42,117,MBytes,24.5,0.682,1243/89064,1.4
2024-04-10 12:33:42,109,MBytes,22.8,0.572,7303/89143,8.2
2024-04-10 12:39:42,109,MBytes,22.7,0.575,7842/89115,8.8
2024-04-10 12:43:42,97.4,MBytes,20.4,0.747,15671/88623,18
2024-04-10 12:49:42,115,MBytes,24.1,0.857,2359/88633,2.7
2024-04-10 12:53:42,119,MBytes,24.8,1.178,265/89037,0.3
2024-04-10 12:59:42,111,MBytes,23.1,0.747,6103/88880,6.9
2024-04-10 13:03:42,101,MBytes,21.2,0.976,13054/88830,15
2024-04-10 13:09:42,106,MBytes,22.2,0.693,9744/89154,11
2024-04-10 13:13:42,117,MBytes,24.4,0.641,1800/89274,2
