timestamp,min,avg,max,mdev
2024-05-12 03:42:41,22.238,31.503,45.388,6.476
2024-05-12 03:43:40,27.231,41.706,52.712,6.178
2024-05-12 03:44:40,21.094,28.879,40.456,4.713
2024-05-12 03:45:40,27.336,38.466,68.871,9.075
2024-05-12 03:46:40,22.785,36.042,54.155,9.543
2024-05-12 03:47:41,21.937,35.942,98.167,16.875
2024-05-12 03:49:40,22.220,31.971,45.825,5.949
2024-05-12 03:50:40,21.222,36.598,54.416,7.992
2024-05-12 03:51:40,21.421,30.494,47.055,6.661
2024-05-12 03:52:42,22.832,34.776,69.702,10.152
2024-05-12 03:53:41,21.987,32.706,53.719,6.380
2024-05-12 03:54:41,22.461,36.769,71.919,10.420
2024-05-12 03:55:41,23.864,34.208,110.743,13.404
2024-05-12 03:56:41,22.095,33.939,102.390,13.637
2024-05-12 03:57:42,20.622,31.382,66.615,7.886
2024-05-12 03:59:41,20.768,38.440,128.440,18.545
2024-05-12 04:00:41,22.578,45.555,134.295,21.684
2024-05-12 04:01:41,23.974,34.923,74.377,10.646
2024-05-12 04:02:42,20.109,37.589,63.191,11.908
2024-05-12 04:03:40,25.063,38.767,91.803,11.878
2024-05-12 04:04:40,21.755,34.743,64.314,8.114
2024-05-12 04:05:40,23.406,37.200,52.742,7.940
2024-05-12 04:06:40,33.234,45.724,59.375,7.565
2024-05-12 04:07:41,32.192,49.138,80.846,10.738
2024-05-12 04:09:40,24.656,39.989,110.561,15.531
2024-05-12 04:10:40,22.116,43.110,105.837,16.590
2024-05-12 04:11:40,25.701,36.405,48.257,4.795
2024-05-12 04:12:41,20.536,31.716,77.460,11.329
2024-05-12 04:13:40,20.721,28.309,40.433,5.193
2024-05-12 04:14:40,22.719,30.748,51.266,6.877
2024-05-12 04:15:40,22.802,40.680,81.863,12.898
2024-05-12 04:16:40,22.281,35.746,54.141,7.533
2024-05-12 04:17:41,21.099,36.113,130.371,20.660
2024-05-12 04:19:40,19.569,36.006,81.190,10.734
2024-05-12 04:20:40,21.687,41.315,81.734,13.730
2024-05-12 04:21:40,24.068,34.843,51.911,7.081
2024-05-12 04:22:41,22.864,35.432,53.972,8.110
2024-05-12 04:23:40,21.768,28.922,40.845,5.272
2024-05-12 04:24:40,21.122,34.558,72.222,11.767
2024-05-12 04:25:40,22.995,37.966,67.751,10.178
2024-05-12 04:26:40,22.199,32.757,56.934,7.722
2024-05-12 04:27:41,22.770,40.750,60.638,10.989
2024-05-12 04:29:40,21.849,33.420,81.357,11.453
2024-05-12 04:30:40,24.218,35.818,53.869,7.959
2024-05-12 04:31:40,21.970,32.011,49.866,6.989
2024-05-12 04:32:41,22.229,34.162,66.490,9.501
2024-05-12 04:33:40,22.125,29.811,43.279,4.310
2024-05-12 04:34:40,21.779,31.874,47.097,6.532
2024-05-12 04:35:40,21.467,34.955,57.013,8.809
2024-05-12 04:36:40,26.419,36.587,58.537,6.962
2024-05-12 04:37:40,31.059,42.930,58.814,7.407
2024-05-12 04:39:40,21.614,37.689,52.940,8.537
2024-05-12 04:40:40,24.959,39.184,60.118,7.942
2024-05-12 04:41:41,22.204,30.438,45.732,6.410
2024-05-12 04:42:41,23.882,36.020,56.851,8.781
2024-05-12 04:43:40,21.812,36.065,54.065,8.080
2024-05-12 04:44:40,21.201,32.137,54.205,7.762
2024-05-12 04:45:40,21.045,36.663,72.422,10.857
2024-05-12 04:46:40,22.032,33.566,53.214,7.123
2024-05-12 04:47:41,22.773,33.989,51.095,6.032
2024-05-12 04:49:40,22.135,33.037,88.699,13.167
2024-05-12 04:50:40,23.914,40.873,89.311,12.571
2024-05-12 04:51:40,22.352,35.181,61.950,8.979
2024-05-12 04:52:41,22.855,30.757,44.268,5.334
2024-05-12 04:53:40,21.761,36.975,53.886,9.850
2024-05-12 04:54:40,23.024,29.113,47.873,4.984
2024-05-12 04:55:40,22.964,33.426,54.393,7.778
2024-05-12 04:56:40,24.976,34.334,55.950,6.477
2024-05-12 04:57:41,21.814,33.453,56.076,8.983
2024-05-12 04:59:40,22.626,35.994,66.881,10.610
2024-05-12 05:00:40,24.230,35.760,69.106,9.293
2024-05-12 05:01:40,25.080,40.335,62.052,11.211
2024-05-12 05:02:41,22.182,28.173,44.862,4.588
2024-05-12 05:03:40,22.020,30.848,40.772,4.317
2024-05-12 05:04:40,21.122,31.091,50.022,6.538
2024-05-12 05:05:40,27.483,42.841,65.854,10.089
2024-05-12 05:06:40,21.620,36.855,63.396,11.636
2024-05-12 05:07:42,23.093,41.603,64.049,12.010
2024-05-12 05:09:40,26.750,43.077,77.214,10.323
2024-05-12 05:10:40,23.757,35.588,53.548,7.511
2024-05-12 05:11:40,21.891,37.975,65.503,8.929
2024-05-12 05:12:41,22.358,41.319,61.521,9.558
2024-05-12 05:13:40,29.523,41.623,62.106,6.935
2024-05-12 05:14:40,20.736,32.109,64.018,8.598
2024-05-12 05:15:40,21.409,33.458,56.668,7.032
2024-05-12 05:16:40,26.758,37.927,54.232,6.862
2024-05-12 05:17:41,22.709,35.612,64.774,8.766
2024-05-12 05:19:40,27.802,40.227,61.426,8.320
2024-05-12 05:20:40,21.202,35.330,56.277,8.776
2024-05-12 05:21:40,23.713,46.139,72.071,12.654
2024-05-12 05:22:41,32.748,46.301,63.423,7.354
2024-05-12 05:23:40,32.051,43.990,61.853,6.650
2024-05-12 05:24:40,22.092,33.129,63.452,9.062
2024-05-12 05:25:41,22.243,37.935,86.727,14.417
2024-05-12 05:26:41,20.342,37.921,86.011,11.845
2024-05-12 05:27:42,22.279,30.491,46.488,5.453
2024-05-12 05:29:41,20.866,40.794,104.266,15.320
2024-05-12 05:30:41,20.142,38.053,88.726,13.189
2024-05-12 05:31:41,22.022,45.247,228.898,32.764
2024-05-12 05:32:42,22.643,33.902,47.206,7.703
2024-05-12 05:33:41,22.436,34.918,106.787,15.533
2024-05-12 05:34:41,23.270,36.458,90.957,11.477
2024-05-12 05:35:40,22.486,38.401,65.530,10.431
2024-05-12 05:36:40,24.867,33.383,59.172,6.870
2024-05-12 05:37:41,22.363,33.460,54.224,7.401
2024-05-12 05:39:40,25.652,44.000,80.098,13.499
2024-05-12 05:40:40,23.089,32.613,47.928,5.737
2024-05-12 05:41:40,22.546,37.830,66.824,9.774
2024-05-12 05:42:40,21.470,29.326,42.573,4.540
2024-05-12 05:43:40,21.191,29.098,49.110,5.117
2024-05-12 05:44:40,22.125,28.367,38.731,4.637
2024-05-12 05:45:40,22.109,31.954,58.281,8.267
2024-05-12 05:46:40,22.708,35.708,55.328,8.754
2024-05-12 05:47:41,22.003,31.085,45.219,5.302
2024-05-12 05:49:40,20.469,34.086,55.121,8.940
2024-05-12 05:50:40,21.753,34.416,55.071,7.421
2024-05-12 05:51:40,21.402,32.203,47.561,5.984
2024-05-12 05:52:40,21.728,31.103,56.429,7.554
2024-05-12 05:53:40,25.392,36.378,51.904,7.395
2024-05-12 05:54:40,23.122,32.923,51.555,7.455
2024-05-12 05:55:40,22.085,34.839,48.315,7.203
2024-05-12 05:56:40,20.926,35.321,79.915,10.234
2024-05-12 05:57:41,21.043,33.168,62.712,8.065
2024-05-12 05:59:40,20.457,28.576,39.881,4.684
2024-05-12 06:00:40,21.093,32.401,47.776,6.771
2024-05-12 06:01:40,22.083,30.344,47.334,5.210
2024-05-12 06:02:41,21.448,28.925,43.584,5.158
2024-05-12 06:03:41,22.127,32.412,47.598,6.249
2024-05-12 06:04:40,21.819,30.387,67.738,9.315
2024-05-12 06:05:40,22.227,31.854,50.951,7.383
2024-05-12 06:06:40,21.645,30.401,43.641,5.504
2024-05-12 06:07:41,23.742,34.728,50.434,7.536
2024-05-12 06:09:40,21.145,32.388,47.064,6.555
2024-05-12 06:10:40,20.710,35.644,60.129,10.004
2024-05-12 06:11:40,20.938,33.348,48.747,6.542
2024-05-12 06:12:41,23.112,30.057,41.720,5.277
2024-05-12 06:13:40,21.503,29.409,52.736,7.793
2024-05-12 06:14:40,20.679,29.689,50.071,6.072
2024-05-12 06:15:40,21.551,30.835,54.045,7.049
2024-05-12 06:16:40,24.968,33.402,46.413,4.592
2024-05-12 06:17:41,21.606,31.081,47.602,6.543
2024-05-12 06:19:40,20.686,33.046,49.483,7.019
2024-05-12 06:20:40,24.787,41.118,68.923,11.215
2024-05-12 06:21:40,23.602,35.424,53.524,6.431
2024-05-12 06:22:41,21.429,29.582,64.094,7.315
2024-05-12 06:23:40,23.232,32.242,42.665,4.962
2024-05-12 06:24:40,22.081,31.475,43.345,5.024
2024-05-12 06:25:40,21.842,36.429,61.805,9.295
